index,paragraph
104,dont worry and at once summoned the owner of the house when the merchant arrived the king questioned him were you at home when the dead man burgled your house yes my lord he broke in and the wall was weak it fell on him the accused pleads guilty your wall killed this mans brother you have murdered a man we have to punish you lord said the helpless merchant i didnt put up the wall its really the fault of the man who built the wall he didnt build it right you should punish him
105,who is that my lord this wall was built in my fathers time i know the man hes an old man now he lives nearby the king sent out messengers to bring in the bricklayer who had built the wall they brought him tied hand and foot in the kingdom of fools both the king and the minister were idiots they didnt want to run things like other kings so they decided to change night into day and day into night
106,they ordered that everyone should be awake at night till their fields and run their businesses only after dark and go to bed as soon as the sun came up anyone who disobeyed would be punished with death the people did as they were told for fear of death the king and the minister were delighted at the success of their project one day a guru and his disciple arrived in the city it was a beautiful city it was broad daylight but there was no one about everyone was asleep not a mouse stirring
107,even the cattle had been taught to sleep by day the two strangers were amazed by what they saw around them and wandered around town till evening when suddenly the whole town woke up and went about its nightly business the two men were hungry now that the shops were open they went to buy some groceries to their astonishment they found that everything cost the same a single duddu whether they bought a measure of rice or a bunch of bananas it cost a duddu the guru and his disciple were delighted
108,they had never heard of anything like this they could buy all the food they wanted for a rupee when they had cooked and eaten the guru realised that this was a kingdom of fools and it wouldnt be a good idea for them to stay there this is no place for us lets go he said to his disciple but the disciple didnt want to leave the place everything was cheap here all he wanted was good cheap food the guru said they are all fools
109,this wont last very long and you cant tell what theyll do to you next but the disciple wouldnt listen to the gurus wisdom he wanted to stay the guru finally gave up and said do what you want im going and left the disciple stayed on ate his fill every day bananas and ghee and rice and wheat and grew fat like a street side sacred bull one bright day a thief broke into a rich merchants house
110,he had made a hole in the wall and sneaked in and as he was carrying out his loot the wall of the old house collapsed on his head and killed him on the spot his brother ran to the king and complained your highness when my brother was pursuing his ancient trade a wall fell on him and killed him this merchant is to blame he should have built a good strong wall you must punish the wrongdoer and compensate the family for this injustice the king said justice will be done
111,dont worry and at once summoned the owner of the house when the merchant arrived the king questioned him were you at home when the dead man burgled your house yes my lord he broke in and the wall was weak it fell on him the accused pleads guilty your wall killed this mans brother you have murdered a man we have to punish you lord said the helpless merchant i didnt put up the wall its really the fault of the man who built the wall he didnt build it right you should punish him
112,who is that my lord this wall was built in my fathers time i know the man hes an old man now he lives nearby the king sent out messengers to bring in the bricklayer who had built the wall they brought him tied hand and foot in the kingdom of fools both the king and the minister were idiots they didnt want to run things like other kings so they decided to change night into day and brics offers its member countries different value propositions
113,for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council
114,for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions
115,there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity
116,yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no
117,international politics is not black and white surely there are lots of shades of grey therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
118,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
119,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
120,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
121,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
122,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
123,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
124,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
125,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
126,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
127,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
128,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
129,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
130,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
131,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
132,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
133,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
134,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
135,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
136,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
137,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
138,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
139,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
140,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
141,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
142,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
143,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
144,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
145,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
146,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
147,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
148,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
149,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
150,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
151,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
152,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
153,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
154,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
155,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
156,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
157,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
158,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
159,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
160,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
161,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
162,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
163,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
164,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
165,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
166,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
167,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
168,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
169,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
170,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
171,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
172,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
173,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
174,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
175,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
176,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
177,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
178,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
179,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
180,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
181,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
182,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
183,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
184,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
185,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
186,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
187,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
188,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
189,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
190,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
191,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
192,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
193,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
194,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
195,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
196,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
197,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
198,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
199,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
200,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
201,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
202,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
203,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
204,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
205,but even as brics is faced with several major challenges it is seeking to enlist more members believing that expanding its membership will enhance its influence and transform it into a more pivotal global forum but the more it expands the more we are likely to witness glaring internal contradictions there is less unity and more differences among brics members on various issues even when they agree to long summit declarations in a sense member countries sign on summit declarations rich in rhetoric because they are likely aware of their limited impact
206,at the core of the challenges facing brics is that what primarily unites its member countries is not themselves but a shared opposition to the us led world order which they believe fails to address the needs of much of humanity yet there is little consensus among the members regarding the extent and nature of their opposition to the us led order
207,for example india and russia often hold sharply divergent views on how to reform the existing system or how to construct a new one reflecting their differing strategic interests and their respective relationship with the us and the west can the brics as a grouping emerge as a credible global geopolitical alternative the answer in my opinion is a resounding no if so should india geopolitical hitch its wagon to brics i would say no international politics is not black and white surely there are lots of shades of grey
208,therefore there is value in being part of forums like brics primarily for the purpose of geopolitical hedging for new delhi brics is a significant non western platform where some of the most influential alternative sentiments on the global order currently find voice even if much of this remains at the level of rhetoric for india the brics rhetoric serves as a valuable tool to enhance its leverage in other forums like the g7 and g20 as a bridge state
209,more so since brics consistently echoes concerns important to the global south it holds a great deal of instrumental value for new delhi as it seeks to position itself as a leading voice within the global south if you are not part of forums that focus on the concerns of the global south you may lack the legitimacy or platform to effectively represent or speak for its interests and yet such symbolic value could become counterproductive if it leads to or becomes entrenched in more sharply divided geopolitical positions
210,for instance the anti west rhetoric is a good starting point for india to get more receptivity and attention from the west brics offers its member countries different value propositions for many nations particularly in the global south brics functions as a significant platform to voice their historical grievances and concerns that have often been overlooked by developed countries
211,for russia china and iran this is a growing global forum where they can challenge the us and its allies and discuss ways to forge a global geopolitical alternative to the us led order even though both russia and china are key members of that order by virtue of being members of the un security council  for new and aspiring members brics represents a promise of future geopolitical influence no one wants to be left behind as discussions about shaping the new world order gain momentum
